serie,episode,content,name,time,likes_count,answer_count,sentiment,keywords,categories
safia,4,شفتو وحدة راجلها يقلها نجيبلك ماكلة واجدة مريسطورو متحبش كاين صفية 😂😂,@TasnimSanouma-zz5rg,4 weeks ago,10,1,humorous,husband - food - Safiya,Emotional Response
safia,4,والله حتى انا هاك واش يقلي نقلو لالا انا نطيب,@RaVu-f9x,3 weeks ago, ,0,humorous,cooking,Emotional Response
safia,4,ماعندها لا سكر ولا لاطونسيو عندها الطمع,@ZinaLina-vy8wz,4 weeks ago,2,0,negative,greed,Character Analysis
safia,4,هعهههه😅😅😅😅,@hanenyoucef3915,4 weeks ago, ,0,humorous,,Emotional Response
safia,4,🥹🥹😩مسكينة نية,@iidwau,4 weeks ago, ,0,negative,poor - naivety,Character Analysis
safia,4,راجل كيما عبد القادر و الا خلي 😂هايل ربي يرزقنا أمثاله 🤲🏻,@mirimimi7250,4 weeks ago (edited),25,1,positive,man - Abdelkader,Character Analysis
safia,4,ربي يرزقك الزوج الصالح,@KenzaDjouama,11 days ago, ,0,positive,good husband,Character Analysis
safia,4,اللهجات مختلفة برافوو نتمنى يدخلو لهجة الصحراء تاني تبسية مرت من هنا,@riteltoula-sm4ks,4 weeks ago,11,0,positive,dialects - Sahara,Praise for the Series
safia,4,"KARKART DA7HK, TON ! RIRN À DIRE! QUE DU BONHEUR!",@LALI-BAD,4 weeks ago, ,0,positive,laughter - happiness,Emotional Response
safia,4,‏‪0:10‬‏ صوت حسين بلحاج ❤,@foufam1581,4 weeks ago, ,0,positive,Hussein Belhaj - voice,Appreciation for Characters
safia,4,الكل هدر على صفية مي راجلها يحب يحترمها ومريحها هي نفس الشي تبادل .الرجل يعرف قيمتها انه الاقوى ولكن يبسط نفسه لاهله.,@snowrose5422,4 weeks ago,1,0,positive,respect - husband - wife,Character Analysis
safia,4,الديفو راه في الرجال عندهم قصور في الفهم ويقولو المرأة ضال تهدر ودير في المشاكل 😂😂😂😂❤❤❤❤❤,@AlAmalelgadem,4 weeks ago,1,0,humorous,men - understanding - women,Emotional Response
safia,4,❤❤❤❤❤,@assiaahcenedjaballah7605,4 weeks ago, ,0,positive,,Praise for the Series
safia,4,صفية الزوجة المتاليه مع عبد  القادر الزوج المتالي,@ninanass2979,4 weeks ago, ,0,positive,Safiya - Abdelkader - couple,Character Analysis
safia,4,كي يشوفو واخد نية ياكلوه,@LatteMikan,4 weeks ago,3,0,negative,naivety,Character Analysis
safia,4,وعجبتني لغنية,@Ismahen-hu7zk,4 weeks ago, ,0,positive,song,Appreciation for Characters
safia,4,😂😂 دراهم الحمام ، 😂😂😂😂😂,@missakukumaskukumas6162,4 weeks ago, ,0,humorous,money - bathroom,Emotional Response
safia,4,😂😂😂 قداه قرن فلفل حار٦، هذي سوق اهراسية تاع الصح 😊😊😊👍👍👍👍👍👍👍👍👍,@missakukumaskukumas6162,4 weeks ago, ,0,humorous,pepper - Souk Ahras,Emotional Response
safia,4,صفية 😃😃😃😃👍👍👍👍👍💚♥️💚♥️💚♥️💚♥️💚♥️♥️,@missakukumaskukumas6162,4 weeks ago, ,0,positive,Safiya,Appreciation for Characters
safia,4,Colonie de vacances 😂😂😂,@lolachurchill7798,4 weeks ago, ,0,humorous,holiday camp,Emotional Response
safia,4,"عجبتني سلسلة  الله يبارك 
تحياتي من وهران ❤❤❤",@fatimaahmedbey1133,4 weeks ago, ,0,positive,series - Oran,Praise for the Series
safia,4,Tooop,@MeriemHammad-l7t,4 weeks ago, ,0,positive,,Praise for the Series
safia,4,يارب بيسو تدي 15😅,@biso.g,4 weeks ago, ,0,neutral,Bisou - score,
safia,4,😂😂😂😂😂,@Ramzi-v4b,4 weeks ago, ,0,humorous,,Emotional Response
safia,4,وكان جاو قع الرجال كيما عبد قادر .... الدنيا راهي بخير,@aminaasmr,4 weeks ago, ,0,positive,men - Abdelkader,Character Analysis
safia,4,ورناغزبقيصتم. قنن,@lokmanebadaoui166,1 month ago, ,0,neutral,,
safia,4,نتنتهاغل,@lokmanebadaoui166,1 month ago, ,0,neutral,,
safia,4,😂😂😂😂😂,@Chaimaavlogs29,1 month ago, ,0,humorous,,Emotional Response
safia,4,صفية وراجلها يهبلو قمة فالتمثيل ❤😊,@hananhoho,1 month ago,7,0,positive,Safiya - husband - acting,Appreciation for Characters
safia,4,Envloppe de pâtes hhhh,@KoukiPacha-l9p5f,1 month ago, ,0,humorous,pasta,Emotional Response
safia,4,صح شراقا طماعين و يبروفيتو 😅,@issmafassi7602,1 month ago, ,0,negative,greed,Character Analysis
safia,4,@yasmineabdelmoumen bravooo🎉🎉🎉❤❤,@yasamine9348,1 month ago, ,0,positive,Yasmine Abdelmoumen,Praise for the Series
safia,4,😂😂😂 femme de ménage,@fatahimessaoudene143,1 month ago, ,0,humorous,housekeeper,Emotional Response
safia,4,فكروني في الزمن الجميل 😅,@Nasrokd,1 month ago, ,0,positive,good old days,Emotional Response
safia,4,يكثر خير اليوتيوب مخلينا نتفرجو واش نبغو وقت نبغو ❤❤,@oumnia2020,1 month ago, ,0,positive,YouTube - freedom,Praise for the Series
safia,4,واحد كما عبد القادر ومنزيدش 😂😂,@امالزراط,1 month ago, ,0,positive,man - Abdelkader,Character Analysis
safia,4,Fi hada a3awacharr ya Rabi rajal w dar kima safia ya Rabi w zawaj salihi kima abdegadar nchallah ❤,@dassinelynda5042,1 month ago, ,0,positive,husband - Safiya - Abdelkader,Character Analysis
safia,4,قتلك راني مريضة مقتلكش راني نلقف😂😂😂,@تاجالدينتاجالدين-ه6ك,1 month ago, ,0,humorous,sick - joking,Emotional Response
safia,4,جيبها من بوركينافاصو😂😂😂😂,@mohamedsmail5201,1 month ago, ,0,humorous,Burkina Faso,Emotional Response
safia,4,❤❤❤ اعجبتني السلسله,@SissouNissou-rs7pc,1 month ago, ,0,positive,series,Praise for the Series
safia,4,أشومي عليها صفية نية ياااسر,@لاڨازات-غ5ج,1 month ago, ,0,positive,Safiya - naivety,Character Analysis
safia,4,حلقة شابة ههه❤ يعطيكم الصحة,@MamanAbdessamad,1 month ago, ,0,positive,episode,Praise for the Series
safia,4,Les enveloppes de patte,@أفكارللماكثاتفيالمنزل,1 month ago, ,0,humorous,pasta,Emotional Response
safia,4,حسيتها نفس الفكرة تع بيبيش وبيبيشة,@louizabelkacemi539,1 month ago (edited), ,0,neutral,idea - Bebish,
safia,4,بكري كنت كيما صفية دروك دراني كيما لخرى ههههه,@djalilcouture9756,1 month ago, ,0,humorous,change - Safiya,Character Analysis
safia,4,Dhartou kamel niya kima safia khaliiiiiiii😅😅😅,@nazimmess2725,1 month ago, ,0,humorous,naivety - Safiya,Character Analysis
safia,4,عيشكم على قداه يجي في التيليفيزيون,@SiradjSiradj-vh7kg,1 month ago, ,0,negative,TV,Criticism of the Ending
safia,4,Ya rabi a3tini radjel kima abdelkader 😅,@k.lbeauty4265,1 month ago, ,0,positive,husband - Abdelkader,Character Analysis
safia,4,صفية بهلولة تشبهلي  بالضبط,@meriem5766,1 month ago, ,0,positive,Safiya - similarity,Character Analysis
safia,4,😂😂😂😂😂😂😂😂😂😂😂😂😂,@SSarah-rx3pb,1 month ago, ,0,humorous,,Emotional Response
safia,4,هادي جات تخدم ولا جات تسكن معاهم 😂😂😂😂😂😂😂,@31houssem59,1 month ago, ,0,humorous,work - live,Emotional Response
safia,4,على ساعه تلعب,@محمدياسين-س7ش,1 month ago, ,0,neutral,play,
safia,4,Safia darba kbira 🤣🤣🤣🤣,@haval4963,1 month ago, ,0,humorous,Safiya - slap,Emotional Response
safia,4,ضربة هذي صفية 😂,@WiamZaidi-u4v,1 month ago, ,0,humorous,Safiya - slap,Emotional Response
safia,4,بركين فاصو 😂😂😂😂😂,@Älã-133Ä,1 month ago,1,0,humorous,Burkina Faso,Emotional Response
safia,4,ان شاء الله ربي يرزق كل وحدة بزوج كيف عبد القادر وزوجة كيف صفية والله مسلسل روووعة صح,@khouloud2407,1 month ago,6,0,positive,husband - wife - Abdelkader - Safiya,Character Analysis
safia,4,"صح كابن دوا تاع الضغط بصح لخرين تاع التقلصات المعوية ودوا تاع الالم ماكانش تاع السكر ولا تاع الغدة الدرقية 
فقتلكم 😂😂😂😂😂",@hayet.k5772,1 month ago (edited), ,0,humorous,medicine - diabetes,Emotional Response
safia,4,صفية زوجة كل شخص يتمنها ❤❤❤❤ تهبل,@heudayfahz581,1 month ago,11,1,positive,Safiya - wife,Character Analysis
safia,4,و عبد القادر رجل أحلام كل فتاة,@Sirine18_lsd,1 month ago,2,0,positive,Abdelkader - husband,Character Analysis
safia,4,Perso j regarde que les passages de kamel 😅,@hamidtemmar7872,1 month ago, ,0,positive,Kamel,Appreciation for Characters
safia,4,لوكان نساءا صفية ورجال عبد قادر والإهدار شراع  تغلق لا طلاق لا خلاع ربي حنن ليقلوب,@fifilabrunes7135,1 month ago,2,0,positive,wife - husband - Abdelkader - Safiya,Character Analysis
safia,4,"صفية تخياتي من باريس عبد قادر فوارررررر
 بصح خدامة قرعتيها😂😂😂 جية نتي اولادك",@fifilabrunes7135,1 month ago,1,0,humorous,Safiya - Abdelkader - Paris,Emotional Response
safia,4,😂😂,@الهامثعباني,1 month ago, ,0,humorous,,Emotional Response
safia,4,مقتلكش راني نلقف,@الهامثعباني,1 month ago,1,0,humorous,joking,Emotional Response
safia,4,هههههه,@NigeriLila,1 month ago, ,0,humorous,,Emotional Response
safia,4,اسمي راهو في اللعب ياو 😂😂 كما راجلي كي قلتلو المعارك بدا يضحك 😂.,@safiakhemiri6326,1 month ago (edited),2,0,humorous,name - husband,Emotional Response
safia,4,وش صفية,@Wissam-r2k,1 month ago, ,0,neutral,Safiya,
safia,4,Heeeeeeeyla😂😂😂😂,@Perledor3,1 month ago, ,0,humorous,,Emotional Response
safia,4,مكاينش هنا وحدة قلبها ابيض و حنين شافت تعليقي و فرحتني بمتابعة الله يجعل ايامك كلها فرح و يفتح عليك ربي بيبان الرزق❤❤🎉❤,@CC_world___1,1 month ago,13,1,positive,kindness - Safiya,Character Analysis
safia,4,ماكاش وحدة حنينة كيما صفية ضرك تديرلك جام و تابونيك,@lobnamaram625,1 month ago, ,0,positive,Safiya - kindness,Character Analysis
safia,4,شاوية ونحب بزاف لهجة ناس عنابة وسوق اهراس وتبسة تهبل وثاني تاع بوسعادة والجلفة ❤,@تراثالجزائرالفخم,1 month ago,4,0,positive,dialects - regions,Praise for the Series
safia,4,Toopppp❤,@mamanmaama,1 month ago, ,0,positive,,Praise for the Series
safia,4,سالي و اللهجة السوقهراسية وحدها ونشاله ربي كثر من امثال صفية ❤❤❤❤,@minoubehidji,1 month ago,17,0,positive,Souk Ahras - Safiya,Praise for the Series
safia,4,اللهم زوج مثل عبد القادر,@fat-xo8vs,1 month ago,3,0,positive,husband - Abdelkader,Character Analysis
safia,4,الله ايكثر من مثال عبد القادر الي كيما عبد القادر منقاردين 😂,@elbrillodelaestrella2548,1 month ago,5,0,positive,Abdelkader - example,Praise for the Series
safia,4,😂😂😂😂,@narejassnarejossa1818,1 month ago, ,0,positive,,Emotional Response
safia,4,سبحان الله الحمد لله واللع أكبر,@_matbakhoumahmedadam3600,1 month ago, ,1,neutral,God - praise,Emotional Response
safia,4,و الله أكبر,@SalahBounezaf,1 month ago, ,0,neutral,God,Emotional Response
safia,4,😂😂😂,@imipop1808,1 month ago, ,0,positive,,Emotional Response
safia,4,الروميتيز😂😂,@rayyaneouz,1 month ago, ,0,positive,romantic comedy,Praise for the Series
safia,4,احلى سلسلة فكاهية 😂😂😂😂😂,@AtikaMazyani,1 month ago, ,0,positive,comedy series,Praise for the Series
safia,4,احلى مسلسل😂😂😂😂,@fatmahakkoum6084,1 month ago, ,0,positive,series,Praise for the Series
safia,4,هخههه,@imadnado8330,1 month ago, ,0,positive,,Emotional Response
safia,4,"ياعمري شحال هايلة صفية سوغتو كي قالت
راك حاب ربي يديني لنار 😂😂😂😂😂",@TarekNadjim,1 month ago,63,0,positive,Safiya - character,Appreciation for Characters
safia,4,😂😂😂😂,@messahlisiham287,1 month ago, ,0,positive,,Emotional Response
safia,4,هههههه,@عطرالنداء-ح5ث,1 month ago, ,0,positive,,Emotional Response
safia,4,إخواني وأخواتي  اين أجد رجل مثل عبد القادر 😂😂😂😂😂,@hozenhadjer,1 month ago,13,3,positive,Abdelkader - character,Character Analysis
safia,4,للطلب ارسل كلمة حلم او Dream او rave على الرقم المرادف لبلدك 😊😂😂😂😂😂,@ZananAdem,1 month ago,2,0,positive,dream,Demand for More Content
safia,4,😂😂😂​ @ZananAdem ,@ImenMimisamo90,1 month ago, ,0,positive,,Emotional Response
safia,4,في الأحلام 😂😂,@امياسر-ث3ش,1 month ago, ,0,positive,dreams,Emotional Response
safia,4,❤❤طوب مسلسل احسن مسلسل مند زمن,@NourKam-rm1vq,1 month ago, ,0,positive,series,Praise for the Series
safia,4,Les enveloppes de pâte hhh,@Osratube,1 month ago,1,0,positive,pasta,Emotional Response
safia,4,هههههههه صفية نية,@sarjhoucine-hc7eu,1 month ago,1,0,positive,Safiya - character,Character Analysis
safia,4,تعجبني بزاف عفوية صفية ❤,@koukipharm865,1 month ago,4,0,positive,Safiya - character,Appreciation for Characters
safia,4,😂😂😂😂😂😂,@MohamedAmrou-r4r,1 month ago, ,0,positive,,Emotional Response
safia,4,قلتلك راني مريضة ماقلتلكش راني نلقف😂😂😂,@koukipharm865,1 month ago (edited),12,0,positive,Safiya - character,Character Analysis
safia,4,جات تعاونها عشات هي لي مكسلة 😂,@RandaAchari,1 month ago,1,0,positive,Safiya - character,Character Analysis
safia,4,مسكينه صفيه,@مريمالبتول-ي3ج,1 month ago,2,0,negative,Safiya - character,Criticism of the Ending
safia,4,😂😂😂صفية كان ناقصها لونس مش مريضة,@naimabensalem3466,1 month ago,3,0,positive,Safiya - character,Character Analysis
safia,4,والله صفية فكرتني في ختي😂قبل رمضان جابت خدامة خدمتلها شويا وشغل لكبير خدماتو ختي او زادت عطاتها دراهم زيادة قالتلي مسكينة عندها راجلها مريض 😂😂😂😂😂😂😂😂,@SafiyaCherif,1 month ago,31,9,positive,Safiya - sister,Character Analysis
safia,4,ربي يباركلها ويزيدلها ختك حنينة ❤,@lynalina2349,1 month ago,4,0,positive,sister,Emotional Response
safia,4," @lynalina2349  
امين يارب العالمين",@SafiyaCherif,1 month ago,1,0,neutral,,Emotional Response
safia,4,😂😂😂😂😂مام يما جبنالها وحدة تعاونها يما كبيرة والله تنقي وتوجدلها قهوى كحلة صباح وتڨعد تقصر معاها,@SSarah-rx3pb,1 month ago,6,0,positive,mother,Emotional Response
safia,4," @SSarah-rx3pb  
😂😂😂😂ربي يحفظها باين فيها حنينة او قلبها بيض ربي يرزقها حسن الدارين يارب",@SafiyaCherif,1 month ago,1,0,positive,Safiya - character,Appreciation for Characters
safia,4,ربي ياجرها,@FjfggVhgc,4 weeks ago,1,0,neutral,,Emotional Response
safia,4,​ @SafiyaCherif الله يخليكم لبعضاكم 😊,@FjfggVhgc,4 weeks ago,1,0,positive,,Praise for the Series
safia,4," @FjfggVhgc  
امين يارب العالمين",@SafiyaCherif,4 weeks ago, ,0,neutral,,Emotional Response
safia,4,😂😂لوكان غير داتني نخدم عندها,@امالبنون-ظ3ق,4 weeks ago,1,0,positive,Safiya - character,Character Analysis
safia,4,​ @SSarah-rx3pb هههههههه😊,@MirabelleAnaiis,4 weeks ago, ,0,positive,,Emotional Response
safia,4,صفية نية فل هبال 😢هذي ڨاع عبرة كي يشوفو ناس نية يحبو يكلوهم,@AbdBen-x5y,1 month ago,99,1,negative,Safiya - character,Criticism of the Ending
safia,4,230,@SaidbekhoucheKRkamela,11 days ago, ,0,neutral,,Emotional Response
safia,4,😂😂😂,@fififerioula6988,1 month ago,1,0,positive,,Emotional Response
safia,4,صفية جابت خدامة رجعت 😂العكس 😅😂,@AbdBen-x5y,1 month ago,6,0,positive,Safiya - character,Character Analysis
safia,4,مسلسل تافه مع اسف ياسمين كنت غير موفقة هذي سنة سيرتو مع هءا ممثل لي ناقص بزاف لا مجال للمقرانة بين وبين نبيل مام سناريو ولستوار ضعيفة وتافهة,@AlaadinNina,1 month ago,1,0,negative,series - Yasmine,Criticism of the Ending
safia,4,صفية حنونة تقلش شوية,@KarimLayadi,1 month ago, ,0,positive,Safiya - character,Character Analysis
safia,4,ياربي يرزقننا بزوج كيما عبد القادر يعرف قيمة المرأة ❤,@LaLune-j9u,1 month ago,83,7,positive,Abdelkader - character,Character Analysis
safia,4,نشالله,@SfhjvDgjj,1 month ago,3,0,neutral,,Emotional Response
safia,4,إن شاء الله,@imaniman-x3r,1 month ago,2,0,neutral,,Emotional Response
safia,4,Alhouma Amin ya Rabi ❤❤❤❤,@dassinelynda5042,1 month ago,1,0,positive,,Emotional Response
safia,4,آمين يارب يرزقك ويرزقنا ❤,@Aaa-p4m,1 month ago,2,0,positive,,Emotional Response
safia,4,في المريخ 😅😅😅😅😅😅😅,@MerdaciLoup,4 weeks ago, ,0,positive,,Emotional Response
safia,4,@ ههههه 🤣,@LaLune-j9u,4 weeks ago, ,0,positive,,Emotional Response
safia,4,امين يارب 😂,@natchosido-he9mb,2 weeks ago, ,0,positive,,Emotional Response
safia,4,فام دوميناج هذيك كون نحكمها قدامي نقسمها طرف طرف عالتسيتيت تاعها😡🐜🏃‍♀️,@Soulef-z4h,1 month ago, ,0,negative,,Criticism of the Ending
safia,4,جىح مرحبا,@NouhNounou-t1x,1 month ago,1,0,neutral,,Emotional Response
safia,4,كان زادت قاتله درتلها ماساج.يبات في السبيطار😂😂😂,@BerFatima-ui3jv,1 month ago,42,0,positive,Safiya - character,Character Analysis
safia,4,Les batailles😅😅,@BerFatima-ui3jv,1 month ago,4,0,positive,battles,Emotional Response
safia,4,تحيا صفية,@fadilaharaout9846,1 month ago,2,0,positive,Safiya - character,Appreciation for Characters
safia,4,صح رمضانك ربيعة فنانة مبدعة نشوف حلقة 3 تبان روجي ❤❤🎉🎉❤❤,@Nazimamariofficiel721,1 month ago,6,0,positive,Rabi3a - character,Praise for the Series
safia,4,صفية هايلة و حتى راجلها يقتلو بالضحك,@souboula,1 month ago,14,0,positive,Safiya - husband,Character Analysis
safia,4,هاد المسلسل الوحيد لي نتفرجه نموت عليها ياسمين عبد المومن,@MeryembZagli,1 month ago,9,0,positive,series - Yasmine,Praise for the Series
safia,4,ربيعة ولات صفية لا تزوجت بلاز لا سيد علي داها عبد القادر😅😂,@DihiaZerrougui,1 month ago,38,3,positive,Rabi3a - Safiya - Abdelkader,Character Analysis
safia,4,في اللخر دات مكتوبها😂😂😂😂,@divaamina852,1 month ago,4,0,positive,Safiya - character,Character Analysis
safia,4,هههه,@naimabensalem3466,1 month ago,2,0,positive,,Emotional Response
safia,4,😂😂😂😂,@MarwaMarwa-pm1zd,1 month ago,1,0,positive,,Emotional Response
safia,4,يا رب زوج كيما عبد القادر,@reggadmeriem7002,1 month ago,1,0,positive,Abdelkader - character,Character Analysis
safia,4,صفية وحدها 😂.,@algerian2758,1 month ago (edited),1,0,positive,Safiya - character,Character Analysis
safia,4,هذا وين فقت لروحي نية كيما صافية😅,@thaninaugawa8904,1 month ago,18,3,positive,Safiya - character,Character Analysis
safia,4,😅😂,@jona7187,1 month ago, ,0,positive,,Emotional Response
safia,4,هدي بكري انا مع ناس بيتي 😂 دك وليت حيلبة الله غالب هما نحاولي النية,@DZGg-s8c,1 month ago,4,0,positive,Safiya - character,Character Analysis
safia,4,والله انا نية كيما  صفية,@hananchimiste947,1 month ago,1,0,positive,Safiya - character,Character Analysis
safia,4,❤❤😘😘👍👍,@WWarda-p8o,1 month ago,1,0,positive,,Emotional Response
safia,4,صراحة تهبل هاذي سلسلة❤,@FatimaZahraa-h3p,1 month ago,18,0,positive,series,Praise for the Series
safia,4,مرحبا فقناتي,@Rania44336,1 month ago, ,0,neutral,,Emotional Response
